"site","awcA","phTotal","sandA","shcA","solumDepth","bio5","bio6","bio15","bio18","bio19"
"site_1100",17.5275,678.002502,78.037498,173.955001,915.905029,29.0454559,5.5424243,45,0,145.393936
"site_1116",17.1625,908.080017,76.842498,231.6725,826.332519,27.3594604,5.981081,44.054054,0,181.459457
"site_1101",16.43,595.994995,73.032501,170.272506,913.270019,28.6,5.5837837,37.675674,0,140.216217
"site_1102",18.875,761.955017,72.985,203.892501,899.262512,28.2142852,6.1285713,35.057144,0,161.571426
"site_1098",22.3325,925.04248,79.084999,278.91751,1057.21997,29.4542846,5.3428569,59,0,235.085708
"site_1028",45.237499,620.400024,77.904998,163.8125,896.872497,32.616217,4.5702701,40.594593,0,133.054046
"site_1045",16.972499,557.592529,73.6175,140.029998,900.025024,31.8303039,4.660606,55.272727,0,159.727279
"site_1024",26.254999,532.53247,76.294998,229.142501,1053.260009,33.3117645,4.9176471,62.382354,0,180
"site_1046",15.779999,511.755004,66.957496,113.027496,936.257507,32.3441162,4.7911766,48.735294,0,143.941177
"site_1049",47.044998,761.950012,71.782501,154.732498,812.527526,31.0972229,5.0416667,36.75,0,145.361114
"site_1115",21.767499,891.549987,74.3525,206.872497,950.142517,27.9411773,5.9617645,50.382354,0,223.882354
"site_1103",19.69395,819.925292,77.836296,300.010681,873.160156,28.3807678,6.8769233,35.769229,0,174.461532
"site_1118",17.58633,841.269775,79.798561,317.690643,964.920837,27.1115386,6.8153846,40.653846,0,206.576919
"site_881",23.010101,480.326599,83.993263,477.565643,1129.932617,34.6679992,8.9080001,86.639999,0,267.440002
"site_940",19.2525,484.012512,71.974998,146.577499,1128.512451,34.7657135,6.0171428,63.57143,0,182.485717
"site_1001",16.094999,467.595001,77.300003,145.532501,1033.685058,33.2714294,4.4857143,45.857143,0,134.114288
"site_941",16.802499,416.127502,70.8675,106.089996,1133.487548,34.5600006,5.9657142,58.942855,0,157.514282
"site_939",21.405,496.432495,76.434997,340.162506,1196.827514,33.9064514,6.6129035,74.322578,0,254.645156
"site_942",18.565,386.142486,69.667503,99.095001,1166.467529,34.54375,5.61875,55.4375,0,138.65625
"site_911",20.61,421.119995,73.262496,258.777496,1150.939941,35.1588226,6.7823532,70.029411,0,210.117645
"site_913",16.829999,398.607513,69.014999,117.682502,1064.430053,35.3625,5.95,57.75,0,145.65625
"site_999",24.497499,434.037506,69.065002,175.027496,985.957519,33.55,5.1722221,49.916667,45,135.166671
"site_970",24.975,391.829986,62.069999,78.762496,1059.537475,34.1142852,5.5799999,54.742858,0,139.971435
"site_997",29.747499,550.450012,77.042503,264.022491,1134.974975,34.178125,5.55625,64.625,0,194.75
"site_943",24.795,413.782501,68.017501,81.532501,1217.837524,34.4285705,5.2914287,48.914287,0,132.399993
"site_971",25.784999,412.592498,63.825,89.1025,1132.182495,34.03125,5.425,49.96875,0,134.6875
"site_967",21.024999,637.09497,77.735,383.135009,1230.16748,32.6714294,7.1714286,80.371429,0,302.885711
"site_944",32.595001,444.407501,68.684997,115.940002,1127.517456,34.409375,4.89375,44.96875,52,123.15625
"site_974",31.53,507.005004,56.697498,132.6875,852.025024,33.7818176,4.5969696,41.030303,0,114.393936
"site_996",28.5125,679.794982,72.132499,228.330001,1126.60498,33.4257141,6.1799999,76.400001,0,318.228576
"site_909",20.724445,482.857788,82.137779,369.244445,977.177795,33.8100006,9.175,85.449996,30,299.5
"site_1043",23.795,799.080017,77.739997,325.55249,1079.805053,32.2969696,4.6272727,73.121215,0,320.181823
"site_1044",21.02,636.030029,76.514999,193.255004,957.830017,32.2648651,4.9297298,64.648651,0,202.48648
"site_1063",26.212499,813.902526,77.985,215.809997,999.434997,31.0303039,5.0060607,63.424243,0,224.333328
"site_1064",19.702499,682.210021,74.8675,176.992492,932.712524,31.1305541,4.9222221,53.527778,0,161.27777
"site_1023",35.052501,683.505004,73.962501,207.190002,1097.597534,33.6657135,4.8914287,70.942855,0,255.142852
"site_1029",50.7,651.462524,72.29,163.970001,782.607482,31.8939392,4.8424243,36.575756,0,134.787872
"site_1099",23.215,800.887512,77.782501,229.720001,1024.502441,29.2729736,5.3891891,53.054054,0,193.513519
"site_1117",16.272727,816.184326,77.252525,264.025238,938.454528,26.6970581,6.3117645,40.382354,0,176.382354
"site_1062",25.899999,862.359985,74.595001,208.759994,1007.352478,31.2085723,4.5428569,73.428573,0,326.285705
"site_1079",22.692499,1005.155029,71.702499,201.770004,1011.494995,30.4810821,4.3729728,72.810813,0,341.756744
"site_1022",26.465,782.647521,72.862503,215.512496,1091.92749,32.4114288,6.4971427,81.714286,0,448.571441
"site_1126",27.9925,1089.339965,74.660003,255.122497,1050.287475,25.5705886,6.9970588,47.970588,0,292
"site_1021",26.969564,618.32611,81.552177,507.552185,1221.491333,30.8391296,9.1,85.95652,0,426.260864
"site_995",23.315521,632.641235,80.763359,488.465637,1234.10437,31.4857147,8.377143,83.342857,0,370.171417
"site_938",20.854999,583.784973,81.474998,503.709991,1173.54248,31.9470581,7.8941177,82.588233,0,326.882354
"site_1042",23.614999,948.549987,72.292503,217.815002,1061.319946,31.184848,6.1060607,79.090911,0,542.515136
"site_1061",23.6725,1160.55249,71.345001,193.054992,1045.85498,30.3257141,5.5714286,79.542854,0,554.771423
"site_1112",22.8525,1714.227539,66.824996,187.997497,1077.39746,27.3472229,6.2194442,69.833335,0,488.722229
"site_1113",21.817499,1228.697509,67.557502,162.619995,1057.560058,27.952777,5.6138889,64.444442,0,372.638885
"site_1111",22.18,1468.83496,71.964996,215.550003,959.960021,26.4558837,8.2941177,76,0,516
"site_1125",26.142499,1324.247558,67.735,175.729995,1023.760009,26.3885711,6.7657142,51.171428,0,335.228576
"site_1124",24.149999,1518.199951,66.989997,179.744995,1004.932495,26.4081085,6.724324,58.81081,0,415.027038
"site_1123",23.555,1860.369995,65.830001,170.372497,1071.540039,26.1411773,6.8088233,63.294116,0,492.647064
"site_1096",24.094999,1227.847534,66.75,196.554992,1085.557495,29.6611114,5.0527778,75.777778,0,470.75
"site_1078",25.0125,1129.089965,66.877502,168.304992,1065.770019,30.3558837,5.0558822,79.441177,0,491.352935
"site_1002",33.1375,564.059997,66.942497,154.854995,931.04248,33.1121215,4.5242424,41.090908,0,124.939392
"site_1041",27.757062,530.090393,81.559318,460.68927,1073.084716,30.2095245,9.2238098,84.952377,0,443.761901
"site_966",22.191823,571.669799,82.5,500.364776,1209.38684,30.3928558,8.875,87.14286,0,311.428558
"site_1097",22.667499,943.145019,70.785003,207.649993,993.130004,29.6212127,4.7878787,68.666664,0,340.151519
"site_1114",22.6525,1087.579956,74.257499,221.327499,1028.392456,27.9857147,5.8457141,57.57143,0,280.914276
"site_886",14.274999,277.977508,62.8675,119.995002,705.020019,36.0303039,5.4090908,50.303031,0,118.060607
"site_1060",29.317073,623.164611,79.140243,401.347564,1088.938964,30.3533325,8.2666664,85.26667,0,491.06668
"site_1003",48.299999,557.340026,69.5625,162.755004,743.632507,32.662857,4.7142856,35.742858,0,119.342857
"site_945",38.417499,395.48001,61.717498,143.382507,772.297485,34.5911773,4.7176471,41.764705,0,115.264709
